order_id,customer,amount
1,customer-1,1.25
2,customer-2,2.50
3,customer-3,3.75
4,customer-4,5.00
5,customer-5,6.25
6,customer-6,7.50
7,customer-7,8.75
8,customer-8,10.00
9,customer-9,11.25
10,customer-10,12.50
11,customer-11,13.75
12,customer-12,15.00
13,customer-13,16.25
14,customer-14,17.50
15,customer-15,18.75
16,customer-16,20.00
17,customer-17,21.25
18,customer-18,22.50
19,customer-19,23.75
20,customer-20,25.00
21,customer-21,26.25
22,customer-22,27.50
23,customer-23,28.75
24,customer-24,30.00
25,customer-25,31.25
26,customer-26,32.50
27,customer-27,33.75
28,customer-28,35.00
29,customer-29,36.25
30,customer-30,37.50
31,customer-31,38.75
32,customer-32,40.00
33,customer-33,41.25
34,customer-34,42.50
35,customer-35,43.75
36,customer-36,45.00
37,customer-37,46.25
38,customer-38,47.50
39,customer-39,48.75
40,customer-40,50.00
41,customer-41,51.25
42,customer-42,52.50
43,customer-43,53.75
44,customer-44,55.00
45,customer-45,56.25
46,customer-46,57.50
47,customer-47,58.75
48,customer-48,60.00
49,customer-49,61.25
50,customer-50,62.50
51,customer-51,63.75
52,customer-52,65.00
53,customer-53,66.25
54,customer-54,67.50
55,customer-55,68.75
56,customer-56,70.00
57,customer-57,71.25
58,customer-58,72.50
59,customer-59,73.75
60,customer-60,75.00
61,customer-61,76.25
62,customer-62,77.50
63,customer-63,78.75
64,customer-64,80.00
65,customer-65,81.25
66,customer-66,82.50
67,customer-67,83.75
68,customer-68,85.00
69,customer-69,86.25
70,customer-70,87.50
71,customer-71,88.75
72,customer-72,90.00
73,customer-73,91.25
74,customer-74,92.50
75,customer-75,93.75
76,customer-76,95.00
77,customer-77,96.25
78,customer-78,97.50
79,customer-79,98.75
80,customer-80,100.00
81,customer-81,101.25
82,customer-82,102.50
83,customer-83,103.75
84,customer-84,105.00
85,customer-85,106.25
86,customer-86,107.50
87,customer-87,108.75
88,customer-88,110.00
89,customer-89,111.25
90,customer-90,112.50
91,customer-91,113.75
92,customer-92,115.00
93,customer-93,116.25
94,customer-94,117.50
95,customer-95,118.75
96,customer-96,120.00
97,customer-97,121.25
98,customer-98,122.50
99,customer-99,123.75
100,customer-100,125.00
101,customer-101,126.25
102,customer-102,127.50
103,customer-103,128.75
104,customer-104,130.00
105,customer-105,131.25
106,customer-106,132.50
107,customer-107,133.75
108,customer-108,135.00
109,customer-109,136.25
110,customer-110,137.50
111,customer-111,138.75
112,customer-112,140.00
113,customer-113,141.25
114,customer-114,142.50
115,customer-115,143.75
116,customer-116,145.00
117,customer-117,146.25
118,customer-118,147.50
119,customer-119,148.75
120,customer-120,150.00
